Row Id,Territory ID,Year,X,Y,CLC2012,Pop_den,HFP,Dist_settl,Dist_roads
184,GR,2012,4600893.07,3176969.582,103.676317,82.01213749,16.24802268,152.8073422,347.1369447
222,KO,2012,4650442.506,3136847.381,103.3819123,68.29948733,13.28226569,298.783087,312.5838435
224,HW,2012,4621272.359,3114443.072,103.3545097,161.1074076,17.74593304,166.52674,285.3906771
348,GLH,2012,4527425.961,3200425.349,103.2898126,26.61462736,10.79560483,481.3263064,474.8296624
21,NO,2013,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
31,Z,2013,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
41,DZ,2013,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
50,LUE,2013,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
59,UEM,2013,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
62,RM,2013,4340398.631,3309149.978,103.811026,38.92954523,7.855607523,379.3345607,494.4869141
70,DN,2013,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
78,MI,2013,4630039.296,3155101.024,104.8840032,28.94130521,11.43220255,276.1928472,667.0800836
89,KRH,2013,4500434.303,3338107.539,104.2700995,11.51721393,6.343432836,506.4330348,840.8493532
95,SL,2013,4615931.548,3161729.308,104.1570548,260.4926917,19.65108879,158.3064532,265.3756587
106,AG,2013,4473473.391,3229545.125,103.9200199,12.57169858,9.212136285,394.2913206,459.8365083
116,LE,2013,4506734.556,3240351.165,103.8153586,40.6775494,10.11884736,404.01936,424.5561638
122,LB,2013,4614354.699,3210187.227,104.0023871,17.82837677,8.764919435,315.7007161,633.9171971
128,KH,2013,4591906.602,3143146.831,103.8472174,41.1597951,12.04058288,329.1535784,223.737952
134,SP,2013,4631541.134,3169241.713,103.4239514,99.22926514,14.92158814,114.2376238,481.2887706
140,AH,2013,4534779.343,3181598.282,103.5705052,34.56647772,12.26993835,404.5117343,453.8239857
149,MU,2013,4329660.624,3325343.777,103.9665688,82.14123675,10.72717775,368.2269041,386.0910402
154,NY,2013,4658037.592,3146401.383,103.5065168,93.05442245,15.52362949,402.067456,411.1260571
159,SPJ,2013,4546334.476,3229779.27,103.5141493,37.57969861,12.78007659,292.8466206,491.5971055
164,BE,2013,4307169.522,3301196.863,104.5706754,12.16830797,9.473838655,358.4431016,489.9685169
167,GKL,2013,4491407.72,3214894.351,103.583992,15.16649267,9.146109868,515.046781,648.4724832
171,GA,2013,4420630.053,3319320.144,103.6151283,16.13676149,6.690073603,321.8430475,579.8699025
173,CLH,2013,4426701.805,3266131.754,104.3704735,26.34674692,10.85918225,359.6422602,508.6656884
176,CUX,2013,4253580.8,3393759.019,103.9944787,28.81327099,8.170961003,270.2635296,473.0026363
179,BA,2013,4583612.336,3181901.746,103.5276424,33.68424978,13.34279606,233.7185542,371.9133439
182,TL,2013,4634725.432,3193836.837,104.2346066,114.0983786,18.3992838,223.0337213,568.5659007
185,GR,2013,4600893.07,3176969.582,103.676317,82.01213749,16.24802268,152.8073422,347.1369447
187,FHB,2013,4562491.601,3190281.605,103.7474642,14.95415672,10.70624503,613.4155728,589.6414578
194,ES,2013,4335349.815,3295634.426,103.7850779,25.52625554,10.02354288,580.9307152,1027.804987
196,GLH,2013,4527425.961,3200425.349,103.2898126,26.61462736,10.79560483,481.3263064,474.8296624
198,HO,2013,4626349.107,3181680.279,103.5281245,78.75670165,16.99174417,157.6073507,388.6254041
200,OH,2013,4484561.106,3187644.98,103.5939397,130.8149567,16.61185193,293.6682755,474.2411185
203,RU,2013,4584662.444,3151936.412,103.3299189,104.3089851,17.99298891,235.4976878,284.0131271
218,LH,2013,4595420.243,3129806.613,103.1310791,134.3548981,21.09960219,248.3763302,196.6381402
220,RT,2013,4612773.807,3141192.243,103.2600109,132.0785952,14.83808387,257.9239914,241.4316271
223,KO,2013,4650442.506,3136847.381,103.3819123,68.29948733,13.28226569,298.783087,312.5838435
225,HW,2013,4621272.359,3114443.072,103.3545097,161.1074076,17.74593304,166.52674,285.3906771
323,HF,2013,4480168.045,3215871.079,103.5655265,22.1442279,9.133538829,412.8777468,626.8632793
343,BK,2013,4634068.219,3210645.736,103.7986367,28.2329585,13.0208976,196.9327296,470.9227784
22,NO,2014,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
32,Z,2014,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
42,DZ,2014,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
51,LUE,2014,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
60,UEM,2014,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
63,RM,2014,4340398.631,3309149.978,103.811026,38.92954523,7.855607523,379.3345607,494.4869141
71,DN,2014,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
79,MI,2014,4630039.296,3155101.024,104.8840032,28.94130521,11.43220255,276.1928472,667.0800836
90,KRH,2014,4500434.303,3338107.539,104.2700995,11.51721393,6.343432836,506.4330348,840.8493532
96,SL,2014,4615931.548,3161729.308,104.1570548,260.4926917,19.65108879,158.3064532,265.3756587
107,AG,2014,4473473.391,3229545.125,103.9200199,12.57169858,9.212136285,394.2913206,459.8365083
117,LE,2014,4506734.556,3240351.165,103.8153586,40.6775494,10.11884736,404.01936,424.5561638
123,LB,2014,4614354.699,3210187.227,104.0023871,17.82837677,8.764919435,315.7007161,633.9171971
129,KH,2014,4591906.602,3143146.831,103.8472174,41.1597951,12.04058288,329.1535784,223.737952
135,SP,2014,4631541.134,3169241.713,103.4239514,99.22926514,14.92158814,114.2376238,481.2887706
141,AH,2014,4534779.343,3181598.282,103.5705052,34.56647772,12.26993835,404.5117343,453.8239857
150,MU,2014,4329660.624,3325343.777,103.9665688,82.14123675,10.72717775,368.2269041,386.0910402
155,NY,2014,4655742.745,3139334.64,103.4768703,97.20742141,14.89812973,339.4837843,389.5562077
160,SPJ,2014,4536241.929,3219263.58,103.7265944,171.7977813,18.36424236,206.8445428,486.4836335
165,BE,2014,4307169.522,3301196.863,104.5706754,12.16830797,9.473838655,358.4431016,489.9685169
168,GKL,2014,4491407.72,3214894.351,103.583992,15.16649267,9.146109868,515.046781,648.4724832
172,GA,2014,4420630.053,3319320.144,103.6151283,16.13676149,6.690073603,321.8430475,579.8699025
174,CLH,2014,4426701.805,3266131.754,104.3704735,26.34674692,10.85918225,359.6422602,508.6656884
177,CUX,2014,4253580.8,3393759.019,103.9944787,28.81327099,8.170961003,270.2635296,473.0026363
180,BA,2014,4583612.336,3181901.746,103.5276424,33.68424978,13.34279606,233.7185542,371.9133439
183,TL,2014,4634725.432,3193836.837,104.2346066,114.0983786,18.3992838,223.0337213,568.5659007
186,GR,2014,4600893.07,3176969.582,103.676317,82.01213749,16.24802268,152.8073422,347.1369447
188,FHB,2014,4562491.601,3190281.605,103.7474642,14.95415672,10.70624503,613.4155728,589.6414578
189,WIS,2014,4629941.793,3227618.044,103.5814601,19.8918341,8.516958425,673.2110603,436.3858663
190,ZIH,2014,4406419.79,3276579.616,103.2798448,33.58097891,8.137037405,498.1733486,769.4730899
191,GZ,2014,4487429.43,3236048.713,103.567881,20.7337016,8.247884941,310.1091868,417.5646959
193,MOE,2014,4452359.148,3233463.264,103.0485451,41.87033076,14.48455608,308.2104452,397.7811987
195,ES,2014,4335349.815,3295634.426,103.7850779,25.52625554,10.02354288,580.9307152,1027.804987
197,GLH,2014,4527425.961,3200425.349,103.2898126,26.61462736,10.79560483,481.3263064,474.8296624
199,HO,2014,4626349.107,3181680.279,103.5281245,78.75670165,16.99174417,157.6073507,388.6254041
201,OH,2014,4484561.106,3187644.98,103.5939397,130.8149567,16.61185193,293.6682755,474.2411185
202,GRH,2014,4579983.444,3165411.798,104.1604674,114.4781701,15.94485331,263.7270015,489.2253605
204,RU,2014,4584662.444,3151936.412,103.3299189,104.3089851,17.99298891,235.4976878,284.0131271
205,HF,2014,4480168.045,3215871.079,103.5655265,22.1442279,9.133538829,412.8777468,626.8632793
206,BK,2014,4634068.219,3210645.736,103.7986367,28.2329585,13.0208976,196.9327296,470.9227784
207,CO,2014,4491496.952,3205422.23,103.3999503,91.20890104,13.53097961,384.7126803,410.5013923
208,WI,2014,4319745.474,3309612.43,103.483364,34.8679067,11.59660815,363.4907246,337.4536729
210,FU,2014,4312350.141,3278740.32,103.4268578,135.9275297,13.54516948,435.4280524,632.0659499
213,EL,2014,4142300.115,3298489.939,103.2742096,89.77227083,14.4224995,232.9514317,247.2421456
214,OHR,2014,4375536.911,3079629.971,103.7079272,109.5014422,18.29361448,259.4120251,199.6380545
215,GH,2014,4550915.79,3150228.012,103.3285416,57.31103263,15.28203343,325.3865897,351.9914942
219,LH,2014,4595420.243,3129806.613,103.1310791,134.3548981,21.09960219,248.3763302,196.6381402
226,HW,2014,4621272.359,3114443.072,103.3545097,161.1074076,17.74593304,166.52674,285.3906771
258,RT,2014,4612773.807,3141192.243,103.2600109,132.0785952,14.83808387,257.9239914,241.4316271
296,BAT,2014,4218746.004,3295131.796,102.5198786,82.40418968,13.87480719,282.5313728,143.751953
299,BI,2014,4665850.821,3143635.306,103.2022612,76.13655222,14.43149051,511.4407219,466.2534488
300,CUN,2014,4636170.308,3117112.111,103.137449,197.6375485,20.95696946,185.533927,228.8603124
301,KN,2014,4622327.639,3152986.754,104.2067645,246.0670977,15.87764238,218.2652574,335.3177816
302,KHB,2014,4659514.551,3128397.352,102.7405658,143.6551981,20.16705613,256.7822304,302.4127181
310,MR,2014,4630156.143,3247068.957,103.5011691,108.9627879,18.33585394,614.725536,403.4809213
313,SF,2014,4608373.915,3246094.307,103.3065407,25.96259637,11.47505596,538.8203432,394.8911216
